precision,feature,recall,fbeta
0.4,marital_status,1.0,0.25
0.3412844036697248,marital_status,0.9893617021276596,0.20620842572062084
0.3130434782608696,marital_status,1.0,0.18556701030927836
0.5,marital_status,1.0,0.3333333333333333
0.23529411764705882,marital_status,1.0,0.13333333333333333
0.0,marital_status,1.0,0.0
0.0,marital_status,1.0,0.0
precision,feature,recall,fbeta
0.24561403508771928,occupation,1.0,0.14
0.26356589147286824,occupation,1.0,0.15178571428571427
0.18181818181818182,occupation,1.0,0.1
0.36475409836065575,occupation,1.0,0.22305764411027568
0.3225806451612903,occupation,0.9210526315789473,0.19553072625698323
0.4,occupation,1.0,0.25
0.3076923076923077,occupation,1.0,0.18181818181818182
0.15384615384615385,occupation,1.0,0.08333333333333333
0.37547892720306514,occupation,1.0,0.23113207547169812
0.2978723404255319,occupation,1.0,0.175
0.2318840579710145,occupation,1.0,0.13114754098360656
0.2972972972972973,occupation,1.0,0.1746031746031746
0.18181818181818182,occupation,1.0,0.1
1.0,occupation,1.0,1.0
1.0,occupation,1.0,1.0
precision,feature,recall,fbeta
0.34375,relationship,1.0,0.20754716981132076
0.3403361344537815,relationship,0.9878048780487805,0.20558375634517767
0.3404255319148936,relationship,1.0,0.20512820512820512
0.4444444444444444,relationship,1.0,0.2857142857142857
0.2,relationship,1.0,0.1111111111111111
0.35,relationship,1.0,0.21212121212121213
precision,feature,recall,fbeta
0.3409490333919156,race,0.9897959183673469,0.2059447983014862
0.28125,race,1.0,0.16363636363636364
0.3584905660377358,race,1.0,0.21839080459770116
0.36363636363636365,race,1.0,0.2222222222222222
0.8571428571428571,race,1.0,0.75
precision,feature,recall,fbeta
0.3344262295081967,sex,1.0,0.20078740157480315
0.3433962264150943,sex,0.9891304347826086,0.20776255707762556
precision,feature,recall,fbeta
0.3542009884678748,workclass,0.9953703703703703,0.2154308617234469
0.3150684931506849,workclass,0.9583333333333334,0.1885245901639344
0.3181818181818182,workclass,0.9655172413793104,0.19047619047619047
0.3,workclass,1.0,0.17647058823529413
0.15384615384615385,workclass,1.0,0.08333333333333333
0.21951219512195122,workclass,1.0,0.1232876712328767
0.43037974683544306,workclass,1.0,0.27419354838709675
1.0,workclass,1.0,1.0
1.0,workclass,1.0,1.0
precision,feature,recall,fbeta
0.35065676756139347,native_country,0.9903225806451613,0.2130464954892436
1.0,native_country,1.0,1.0
0.2,native_country,1.0,0.1111111111111111
0.0,native_country,1.0,0.0
0.4,native_country,1.0,0.25
0.0,native_country,1.0,0.0
0.4,native_country,1.0,0.25
0.2857142857142857,native_country,1.0,0.16666666666666666
0.0,native_country,1.0,0.0
0.0,native_country,1.0,0.0
0.0,native_country,1.0,0.0
0.14285714285714285,native_country,1.0,0.07692307692307693
0.0,native_country,1.0,0.0
0.0,native_country,1.0,0.0
0.4,native_country,1.0,0.25
0.25,native_country,1.0,0.14285714285714285
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
0.0,native_country,1.0,0.0
0.25,native_country,1.0,0.14285714285714285
1.0,native_country,1.0,1.0
0.6666666666666666,native_country,1.0,0.5
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
0.6666666666666666,native_country,1.0,0.5
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
precision,feature,recall,fbeta
0.28708133971291866,education,1.0,0.16759776536312848
0.39344262295081966,education,1.0,0.24489795918367346
0.4,education,1.0,0.25
0.34375,education,1.0,0.20754716981132076
0.28313253012048195,education,1.0,0.1649122807017544
0.2900763358778626,education,0.95,0.17117117117117117
0.32098765432098764,education,1.0,0.19117647058823528
0.4230769230769231,education,1.0,0.2682926829268293
0.3076923076923077,education,1.0,0.18181818181818182
1.0,education,1.0,1.0
0.5309734513274337,education,1.0,0.3614457831325301
0.0,education,1.0,0.0
1.0,education,1.0,1.0
0.0,education,1.0,0.0
0.25,education,1.0,0.14285714285714285
1.0,education,1.0,1.0
precision,feature,recall,fbeta
0.5365853658536586,marital_status,0.8461538461538461,0.39285714285714285
0.7127496159754224,marital_status,0.7418065547561951,0.6858832224685883
0.4148148148148148,marital_status,0.7368421052631579,0.28865979381443296
0.5882352941176471,marital_status,1.0,0.4166666666666667
0.6363636363636364,marital_status,1.0,0.4666666666666667
0.4,marital_status,1.0,0.25
0.0,marital_status,0.0,0.0
precision,feature,recall,fbeta
0.55,occupation,0.7333333333333333,0.44
0.5757575757575758,occupation,0.6627906976744186,0.5089285714285714
0.18181818181818182,occupation,1.0,0.1
0.7881136950904393,occupation,0.8133333333333334,0.7644110275689223
0.5401929260450161,occupation,0.6363636363636364,0.4692737430167598
0.7967698519515478,occupation,0.7810026385224275,0.8131868131868132
0.42857142857142855,occupation,1.0,0.2727272727272727
0.5666666666666667,occupation,0.7083333333333334,0.4722222222222222
0.6718346253229974,occupation,0.7428571428571429,0.6132075471698113
0.6486486486486487,occupation,0.7058823529411765,0.6
0.34,occupation,0.4358974358974359,0.2786885245901639
0.6785714285714286,occupation,0.7755102040816326,0.6031746031746031
0.36363636363636365,occupation,0.46153846153846156,0.3
1.0,occupation,1.0,1.0
1.0,occupation,1.0,1.0
precision,feature,recall,fbeta
0.4978540772532189,relationship,0.7837837837837838,0.36477987421383645
0.7074770441626586,relationship,0.7321266968325791,0.6844331641285956
0.5,relationship,1.0,0.3333333333333333
0.25,relationship,1.0,0.14285714285714285
0.36363636363636365,relationship,1.0,0.2222222222222222
0.7588424437299035,relationship,0.8082191780821918,0.7151515151515152
precision,feature,recall,fbeta
0.6903860711582135,race,0.74206672091131,0.6454352441613588
0.6534653465346535,race,0.717391304347826,0.6
0.6944444444444444,race,0.8771929824561403,0.5747126436781609
0.42857142857142855,race,0.6,0.3333333333333333
0.8888888888888888,race,0.8,1.0
precision,feature,recall,fbeta
0.6896551724137931,sex,0.8287292817679558,0.5905511811023622
0.6884848484848485,sex,0.7338501291989664,0.6484018264840182
precision,feature,recall,fbeta
0.6811515480717002,workclass,0.7437722419928826,0.6282565130260521
0.6754385964912281,workclass,0.7264150943396226,0.6311475409836066
0.7011070110701108,workclass,0.7661290322580645,0.6462585034013606
0.6521739130434783,workclass,0.6428571428571429,0.6617647058823529
0.5666666666666667,workclass,0.7083333333333334,0.4722222222222222
0.7058823529411765,workclass,0.7619047619047619,0.6575342465753424
0.788135593220339,workclass,0.8303571428571429,0.75
1.0,workclass,1.0,1.0
1.0,workclass,1.0,1.0
precision,feature,recall,fbeta
0.6883408071748879,native_country,0.745748987854251,0.6391394864677308
1.0,native_country,1.0,1.0
0.75,native_country,0.8571428571428571,0.6666666666666666
0.0,native_country,1.0,0.0
0.8888888888888888,native_country,0.8,1.0
0.3333333333333333,native_country,0.5,0.25
0.7619047619047619,native_country,0.6153846153846154,1.0
0.7719298245614035,native_country,0.8148148148148148,0.7333333333333333
1.0,native_country,1.0,1.0
0.6666666666666666,native_country,1.0,0.5
0.6666666666666666,native_country,1.0,0.5
0.8461538461538461,native_country,0.8461538461538461,0.8461538461538461
0.0,native_country,1.0,0.0
0.8,native_country,0.6666666666666666,1.0
0.8888888888888888,native_country,0.8,1.0
0.6666666666666666,native_country,0.8,0.5714285714285714
0.2,native_country,0.3333333333333333,0.14285714285714285
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.8,native_country,1.0,0.6666666666666666
0.6666666666666666,native_country,1.0,0.5
0.5454545454545454,native_country,0.75,0.42857142857142855
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
0.0,native_country,0.0,0.0
0.8,native_country,0.6666666666666666,1.0
0.0,native_country,0.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,0.0,0.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.6666666666666666,native_country,0.5,1.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
precision,feature,recall,fbeta
